Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2021-12-29 13:01:56;"Workout #1";"Seated Leg Press (Machine)";3;60;kg;10;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Seated Leg Curl (Machine)";1;42.5;kg;10;;;;0;"";;44m
2021-12-29 13:01:56;"Workout #1";"Seated Leg Curl (Machine)";2;45;kg;10;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Seated Leg Curl (Machine)";3;45;kg;6;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Shoulder Press (Machine)";1;25;kg;10;;;;0;"";;44m
2021-12-29 13:01:56;"Workout #1";"Shoulder Press (Machine)";2;27.5;kg;8;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Shoulder Press (Machine)";3;27.5;kg;7;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Plank";1;;;;;;km;30;"";;44m
2021-12-29 13:01:56;"Workout #1";"Plank";2;;;;;;km;30;;;44m
2021-12-29 13:01:56;"Workout #1";"Plank";3;;;;;;km;30;;;44m
2021-12-29 13:01:56;"Workout #1";"Bicep Curl (Dumbbell)";1;10;kg;20;;;;0;"";;44m
2021-12-29 13:01:56;"Workout #1";"Bicep Curl (Dumbbell)";2;10;kg;20;;;;0;;;44m
2021-12-29 13:01:56;"Workout #1";"Bicep Curl (Dumbbell)";3;10;kg;8;;;;0;;;44m
2022-01-17 18:37:06;"Workout #1";"Cycling (Indoor)";1;;;;;0;km;1800;"";"First workout given by PT (with extras)";49m
2022-01-17 18:37:06;"Workout #1";"Chest Press (Machine)";1;40;kg;12;;;;0;"";;49m
2022-01-17 18:37:06;"Workout #1";"Chest Press (Machine)";2;42.5;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Chest Press (Machine)";3;45;kg;8;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Seated Row (Machine)";1;45;kg;12;;;;0;"";;49m
2022-01-17 18:37:06;"Workout #1";"Seated Row (Machine)";2;50;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Seated Row (Machine)";3;50;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Pec Deck (Machine)";1;30;kg;15;;;;0;"";;49m
2022-01-17 18:37:06;"Workout #1";"Pec Deck (Machine)";2;32.5;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Pec Deck (Machine)";3;35;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Pullover (Machine)";1;52.5;kg;12;;;;0;"";;49m
2022-01-17 18:37:06;"Workout #1";"Pullover (Machine)";2;55;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Pullover (Machine)";3;57.5;kg;8;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Seated Leg Press (Machine)";1;50;kg;12;;;;0;"";;49m
2022-01-17 18:37:06;"Workout #1";"Seated Leg Press (Machine)";2;50;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Seated Leg Press (Machine)";3;50;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Seated Leg Curl (Machine)";1;42.5;kg;10;;;;0;"";;49m
2022-01-17 18:37:06;"Workout #1";"Seated Leg Curl (Machine)";2;45;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Seated Leg Curl (Machine)";3;45;kg;8;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Shoulder Press (Machine)";1;25;kg;10;;;;0;"";;49m
2022-01-17 18:37:06;"Workout #1";"Shoulder Press (Machine)";2;27.5;kg;10;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Shoulder Press (Machine)";3;27.5;kg;8;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Plank";1;;;;;;km;40;"";;49m
2022-01-17 18:37:06;"Workout #1";"Plank";2;;;;;;km;40;;;49m
2022-01-17 18:37:06;"Workout #1";"Plank";3;;;;;;km;40;;;49m
2022-01-17 18:37:06;"Workout #1";"Bicep Curl (Dumbbell)";1;10;kg;20;;;;0;"";;49m
2022-01-17 18:37:06;"Workout #1";"Bicep Curl (Dumbbell)";2;8;kg;20;;;;0;;;49m
2022-01-17 18:37:06;"Workout #1";"Bicep Curl (Dumbbell)";3;8;kg;8;;;;0;;;49m
2022-01-20 18:26:34;"Workout #1";"Cycling (Indoor)";1;;;;;0;km;1800;"";"First workout given by PT (with extras)";28m
2022-01-20 18:26:34;"Workout #1";"Chest Press (Machine)";1;40;kg;10;;;;0;"";;28m
2022-01-20 18:26:34;"Workout #1";"Chest Press (Machine)";2;42.5;kg;10;;;;0;;;28m
2022-01-20 18:26:34;"Workout #1";"Chest Press (Machine)";3;45;kg;8;;;;0;;;28m
2022-01-20 18:26:34;"Workout #1";"Seated Row (Machine)";1;45;kg;10;;;;0;"";;28m
2022-01-20 18:26:34;"Workout #1";"Seated Row (Machine)";2;50;kg;10;;;;0;;;28m
2022-01-20 18:26:34;"Workout #1";"Seated Row (Machine)";3;50;kg;10;;;;0;;;28m
2022-01-20 18:26:34;"Workout #1";"Pec Deck (Machine)";1;30;kg;10;;;;0;"";;28m
2022-01-20 18:26:34;"Workout #1";"Pec Deck (Machine)";2;32.5;kg;8;;;;0;;;28m
2022-01-20 18:26:34;"Workout #1";"Pec Deck (Machine)";3;35;kg;8;;;;0;;;28m
2022-01-20 18:26:34;"Workout #1";"Shoulder Press (Machine)";1;25;kg;8;;;;0;"";;28m
2022-01-20 18:26:34;"Workout #1";"Shoulder Press (Machine)";2;27.5;kg;8;;;;0;;;28m
2022-01-20 18:26:34;"Workout #1";"Shoulder Press (Machine)";3;30;kg;8;;;;0;;;28m
2022-01-20 18:26:34;"Workout #1";"Plank";1;;;;;;km;40;"";;28m
2022-01-20 18:26:34;"Workout #1";"Plank";2;;;;;;km;40;;;28m
2022-01-20 18:26:34;"Workout #1";"Plank";3;;;;;;km;40;;;28m
2022-01-20 18:26:34;"Workout #1";"Bicep Curl (Dumbbell)";1;8;kg;20;;;;0;"";;28m
2022-01-20 18:26:34;"Workout #1";"Bicep Curl (Dumbbell)";2;10;kg;20;;;;0;;;28m
2022-01-20 18:26:34;"Workout #1";"Bicep Curl (Dumbbell)";3;8;kg;8;;;;0;;;28m
2022-01-24 12:49:27;"Workout #1";"Cycling (Indoor)";1;;;;;0;km;1800;"";"First workout given by PT (with extras)";51m
2022-01-24 12:49:27;"Workout #1";"Chest Press (Machine)";1;40;kg;10;;;;0;"";;51m
2022-01-24 12:49:27;"Workout #1";"Chest Press (Machine)";2;42.5;kg;8;;;;0;;;51m
2022-01-24 12:49:27;"Workout #1";"Chest Press (Machine)";3;45;kg;8;;;;0;;;51m
2022-01-24 12:49:27;"Workout #1";"Seated Row (Machine)";1;45;kg;10;;;;0;"";;51m
2022-01-24 12:49:27;"Workout #1";"Seated Row (Machine)";2;50;kg;8;;;;0;;;51m
2022-01-24 12:49:27;"Workout #1";"Seated Row (Machine)";3;50;kg;8;;;;0;;;51m
2022-01-24 12:49:27;"Workout #1";"Seated Row (Machine)";4;50;kg;8;;;;0;;;51m
2022-01-24 12:49:27;"Workout #1";"Pec Deck (Machine)";1;30;kg;10;;;;0;"";;51m
2022-01-24 12:49:27;"Workout #1";"Pec Deck (Machine)";2;32.5;kg;10;;;;0;;;51m
2022-01-24 12:49:27;"Workout #1";"Pec Deck (Machine)";3;35;kg;8;;;;0;;;51m
2022-01-24 12:49:27;"Workout #1";"Pec Deck (Machine)";4;35;kg;8;;;;0;;;51m
2022-01-24 12:49:27;"Workout #1";"Pullover (Machine)";1;52.5;kg;10;;;;0;"";;51m
2022-01-24 12:49:27;"Workout #1";"Pullover (Machine)";2;55;kg;8;;;;0;;;51m
2022-01-24 12:49:27;"Workout #1";"Pullover (Machine)";3;57.5;kg;8;;;;0;;;51m
2022-01-24 12:49:27;"Workout #1";"Pullover (Machine)";4;57.5;kg;8;;;;0;;;51m
2022-01-24 12:49:27;"Workout #1";"Shoulder Press (Machine)";1;25;kg;8;;;;0;"";;51m
2022-01-24 12:49:27;"Workout #1";"Shoulder Press (Machine)";2;27.5;kg;8;;;;0;;;51m
2022-01-24 12:49:27;"Workout #1";"Shoulder Press (Machine)";3;27.5;kg;6;;;;0;;;51m
2022-01-24 12:49:27;"Workout #1";"Shoulder Press (Machine)";4;27.5;kg;6;;;;0;;;51m
2022-01-24 12:49:27;"Workout #1";"Bicep Curl (Dumbbell)";1;10;kg;20;;;;0;"";;51m
2022-01-24 12:49:27;"Workout #1";"Bicep Curl (Dumbbell)";2;10;kg;16;;;;0;;;51m
2022-01-24 12:49:27;"Workout #1";"Bicep Curl (Dumbbell)";3;8;kg;16;;;;0;;;51m
2022-02-16 12:59:21;"Workout #1";"Cycling (Indoor)";1;;;;;0;km;1800;"";"First workout given by PT (with extras)";1h 11m
2022-02-16 12:59:21;"Workout #1";"Chest Press (Machine)";1;35;kg;10;;;;0;"";;1h 11m
2022-02-16 12:59:21;"Workout #1";"Chest Press (Machine)";2;35;kg;8;;;;0;;;1h 11m
2022-02-16 12:59:21;"Workout #1";"Seated Row (Machine)";1;45;kg;10;;;;0;"";;1h 11m
2022-02-16 12:59:21;"Workout #1";"Seated Row (Machine)";2;50;kg;8;;;;0;;;1h 11m
2022-02-16 12:59:21;"Workout #1";"Seated Row (Machine)";3;50;kg;8;;;;0;;;1h 11m
2022-02-16 12:59:21;"Workout #1";"Pec Deck (Machine)";1;30;kg;10;;;;0;"";;1h 11m
2022-02-16 12:59:21;"Workout #1";"Pec Deck (Machine)";2;32.5;kg;10;;;;0;;;1h 11m
2022-02-16 12:59:21;"Workout #1";"Pec Deck (Machine)";3;35;kg;8;;;;0;;;1h 11m
2022-02-16 12:59:21;"Workout #1";"Pullover (Machine)";1;52.5;kg;10;;;;0;"";;1h 11m
2022-02-16 12:59:21;"Workout #1";"Pullover (Machine)";2;55;kg;8;;;;0;;;1h 11m
2022-02-16 12:59:21;"Workout #1";"Pullover (Machine)";3;57.5;kg;8;;;;0;;;1h 11m
2022-02-16 12:59:21;"Workout #1";"Seated Leg Press (Machine)";1;50;kg;12;;;;0;"";;1h 11m
2022-02-16 12:59:21;"Workout #1";"Seated Leg Press (Machine)";2;50;kg;10;;;;0;;;1h 11m
2022-02-16 12:59:21;"Workout #1";"Seated Leg Press (Machine)";3;50;kg;10;;;;0;;;1h 11m
2022-02-16 12:59:21;"Workout #1";"Seated Leg Curl (Machine)";1;42.5;kg;10;;;;0;"";;1h 11m
2022-02-16 12:59:21;"Workout #1";"Seated Leg Curl (Machine)";2;45;kg;10;;;;0;;;1h 11m
2022-02-16 12:59:21;"Workout #1";"Seated Leg Curl (Machine)";3;45;kg;8;;;;0;;;1h 11m
2022-02-16 12:59:21;"Workout #1";"Shoulder Press (Machine)";1;25;kg;8;;;;0;"";;1h 11m
2022-02-16 12:59:21;"Workout #1";"Shoulder Press (Machine)";2;27.5;kg;8;;;;0;;;1h 11m
2022-02-16 12:59:21;"Workout #1";"Shoulder Press (Machine)";3;27.5;kg;8;;;;0;;;1h 11m
2022-02-16 12:59:21;"Workout #1";"Plank";1;;;;;;km;40;"";;1h 11m
2022-02-16 12:59:21;"Workout #1";"Plank";2;;;;;;km;40;;;1h 11m
2022-02-16 12:59:21;"Workout #1";"Plank";3;;;;;;km;40;;;1h 11m
2022-02-16 12:59:21;"Workout #1";"Bicep Curl (Dumbbell)";1;10;kg;20;;;;0;"";;1h 11m
2022-02-16 12:59:21;"Workout #1";"Bicep Curl (Dumbbell)";2;8;kg;16;;;;0;;;1h 11m
2022-02-16 12:59:21;"Workout #1";"Bicep Curl (Dumbbell)";3;8;kg;10;;;;0;;;1h 11m
2022-02-21 18:25:56;"Workout #1";"Cycling (Indoor)";1;;;;;0;km;1200;"";"First workout given by PT (with extras)";44m
2022-02-21 18:25:56;"Workout #1";"Chest Press (Machine)";1;35;kg;10;;;;0;"";;44m
2022-02-21 18:25:56;"Workout #1";"Chest Press (Machine)";2;35;kg;8;;;;0;;;44m
2022-02-21 18:25:56;"Workout #1";"Chest Press (Machine)";3;35;kg;8;;;;0;;;44m
2022-02-21 18:25:56;"Workout #1";"Seated Row (Machine)";1;45;kg;10;;;;0;"";;44m
2022-02-21 18:25:56;"Workout #1";"Seated Row (Machine)";2;50;kg;8;;;;0;;;44m
2022-02-21 18:25:56;"Workout #1";"Seated Row (Machine)";3;50;kg;8;;;;0;;;44m
2022-02-21 18:25:56;"Workout #1";"Pec Deck (Machine)";1;30;kg;10;;;;0;"";;44m
2022-02-21 18:25:56;"Workout #1";"Pec Deck (Machine)";2;32.5;kg;10;;;;0;;;44m
2022-02-21 18:25:56;"Workout #1";"Pec Deck (Machine)";3;35;kg;8;;;;0;;;44m
2022-02-21 18:25:56;"Workout #1";"Pullover (Machine)";1;52.5;kg;10;;;;0;"";;44m
2022-02-21 18:25:56;"Workout #1";"Pullover (Machine)";2;55;kg;8;;;;0;;;44m
2022-02-21 18:25:56;"Workout #1";"Pullover (Machine)";3;57.5;kg;8;;;;0;;;44m
2022-02-21 18:25:56;"Workout #1";"Shoulder Press (Machine)";1;25;kg;10;;;;0;"";;44m
2022-02-21 18:25:56;"Workout #1";"Shoulder Press (Machine)";2;27.5;kg;8;;;;0;;;44m
2022-02-21 18:25:56;"Workout #1";"Shoulder Press (Machine)";3;27.5;kg;8;;;;0;;;44m
2022-02-21 18:25:56;"Workout #1";"Plank";1;;;;;;km;40;"";;44m
2022-02-21 18:25:56;"Workout #1";"Plank";2;;;;;;km;40;;;44m
2022-02-23 19:17:10;"Workout #1";"Cycling (Indoor)";1;;;;;0;km;1800;"";"First workout given by PT (with extras)";34m
2022-02-23 19:17:10;"Workout #1";"Chest Press (Machine)";1;40;kg;10;;;;0;"";;34m
2022-02-23 19:17:10;"Workout #1";"Chest Press (Machine)";2;42.5;kg;8;;;;0;;;34m
2022-02-23 19:17:10;"Workout #1";"Chest Press (Machine)";3;45;kg;8;;;;0;;;34m
2022-02-23 19:17:10;"Workout #1";"Seated Row (Machine)";1;45;kg;10;;;;0;"";;34m
2022-02-23 19:17:10;"Workout #1";"Seated Row (Machine)";2;50;kg;8;;;;0;;;34m
2022-02-23 19:17:10;"Workout #1";"Seated Row (Machine)";3;50;kg;8;;;;0;;;34m
2022-02-23 19:17:10;"Workout #1";"Pec Deck (Machine)";1;30;kg;10;;;;0;"";;34m
2022-02-23 19:17:10;"Workout #1";"Pec Deck (Machine)";2;32.5;kg;10;;;;0;;;34m
2022-02-23 19:17:10;"Workout #1";"Pec Deck (Machine)";3;35;kg;8;;;;0;;;34m
2022-02-23 19:17:10;"Workout #1";"Pullover (Machine)";1;52.5;kg;10;;;;0;"";;34m
